Number,Year Erected,Marker Name,Marker Text,Civil War Site?,Location,Latitude,Longitude,Mapped Location
184,2018,The Jungle and Juanita's,"Warren Jett opened The Jungle, a restaurant and cocktail bar, at 715 Commerce Street in 1952. Next door, Juanita Brazier opened Juanita's Place, a beer bar, in 1956. By the early 1960s, both were known as the first gay bars in Nashville. Jett sold The Jungle in 1960, after his brother, Leslie E. Jett, was elected sheriff. In 1963, 27 men were arrested for “disorderly behavior” in a raid at Juanita’s. Gay men continued to gather at both bars until 1983, when the block was leveled.",,715 Commerce Street,36.160541,-86.782123,POINT (-86.782123 36.160541)
50,1971,Eighth Avenue South Reservoir,"This 51 Mil. Gal. Reservoir was built 1887-89 on Kirkpatrick Hill, the site of Federal Fort Casino during Civil War. It is elliptical in shape with axes of 603 & 463.4 Ft. Perimeter of wall is 1,746 Ft. & water depth is 31 Ft. Rupture in east wall occurred at 12:10 A.M., Nov. 5, 1912. The interior was waterproofed in 1921. Designated as a National Water Landmark by AWWA, 1971.",,"8th Avenue South entrance to reservoir, wall marker",36.139105,-86.778629,POINT (-86.778629 36.139105)
46,1971,Hyde’s Ferry Turnpike,"Here was toll-gate No.2 of the Hyde's Ferry Turnpike Co., chartered in 1848 to build a road from Nashville to Ashland City and Sycamore Mills.  Richard Hyde's ferry crossed the Cumberland 2.6 mi. southeast, where the railroad bridge is now.  Davidson County paid $10,000 for its part of the road in 1901.  Cheatham County bought its portion and freed it from tolls in 1916.",,"Ashland City Highway/Hydes Ferry Road, between Cato Road and Eatons Creek Road",36.208951,-86.864173,POINT (-86.864173 36.208951)
149,2013,Holly Street Fire Hall,"Completed in 1914, J.B. Richardson Engine Company No. 14 was designed by Nashville’s first city architect, James B. Yeaman. Designed to blend in with the surrounding residential neighborhood, it was the first fire hall in the city built specifically for motorized fire trucks. Except for short periods during renovations, this fire hall has been in continuous use since its construction, and was listed in the National Register of Historic Places in 1982.",,1600 Holly Street,36.175477,-86.74195,POINT (-86.74195 36.175477)
213,2020,Clark Memorial United Methodist Church,"Founded in South Nashville in 1865, Clark Memorial moved to North Nashville in 1936 and to this location in 1945. The church was central to the Civil Rights movement in Nashville, with activist James M. Lawson conducting classes here in 1959 on non-violent protests. Lawson was a founding member of the Student Non-Violent Coordinating Committee (SNCC), whose Nashville members included students at American Baptist College, Fisk Univ., Tenn. A&I (now Tenn. State) and Vanderbilt Univ.",,1014 Fourteenth Avenue North,36.169135,-86.80008,POINT (-86.80008 36.169135)
181,2018,Logue House,"In 1786, the State of North Carolina deeded this land as part of a 640 acre grant to Revolutionary War Private and land surveyor James Mulherin. The c. 1920 stone American Foursquare dwelling was home to Gilbert Stroud Logue and Emma McEwan Logue. Gilbert was a professional Southern Circuit bicycle racer, a Scottish Rite 32nd degree Mason, and an investor in multiple businesses. Emma, a founding member of the Lebanon Road Garden Club, often hosted meetings at this estate.",,115 Cottage Lane,36.1681,-86.692215,POINT (-86.692215 36.1681)
3,1968,Site of First Store,"Lardner Clark, “Merchant and Ordinary Keeper,” came from Philadelphia, Penn. in the early 1780s with ten horses packed with goods to sell. He established Nashville’s first drygoods store by 1783, on a site 30 yards east. Clark sold calicoes, unbleached muslin, thimbles, pins, liquors, and provender for horses. Many customers traded pelts and furs for his goods. The building—which served as a store, tavern, and dwelling—faced south and was known as “the house with the piazza.”",,NE corner of Second Avenue North and Banks Street,36.165123,-86.777237,POINT (-86.777237 36.165123)
48,1971,Nashville General Hospital,"Opened on this site February 1890, with a capacity of 60 beds. Doctor Charles Brower of the University of Nashville Medical Department was appointed Superintendent. In 1891 a school of nursing was opened with Miss Charlotte E. Perkins as Superintendent. This was the first training school for nurses between the Ohio River and New Orleans.",,217 Middleton Street,36.157514,-86.765571,POINT (-86.765571 36.157514)
104,1999,Woodmont Estates,"Created in 1937 from the G. A. Puryear farm. It was once part of Samuel Watkin’s country estate. Olmsted Bros. Landscape Architects designed the roads and lots to flow naturally with the hills, valleys, and brook. Residential development was made possible by the 1915 construction of a concrete road. Known by 1918 as Woodmont Boulevard, it was the first documented concrete road in Tennessee.",,West Valley Brook and Bear Road,36.11428,-86.82394,POINT (-86.82394 36.11428)
157,2017,Surrender of Nashville Charles Fuller Home,"After Union success to north in TN and KY, Col. John Kennett, 4th Ohio Vol. Cavalry, ordered Cpt. H.C. Rodgers to Edgefield. They met with Nashville mayor R.B. Cheatham, Feb. 23, 1862, at the Edgefield home of banker Charles Fuller, to discuss terms of surrender. The city was conveyed to Federal control on Feb. 25. Fuller became a U.S. Treasury agent at the end of the war prior to his death in 1868. The Fuller home was destroyed in the East Nashville Fire of 1916.",X,"612 Woodland Street, East Park",36.17293,-86.761689,POINT (-86.761689 36.17293)
60,1975,Nashville Ymca,"On May 18, 1875, members of several Nashville churches gathered at the Christian Church (138 Vine Street) after a religious revival meeting and organized the Nashville Young Men’s Christian Association. Its first building, erected in 1886 on Church Street between Cherry and College, was destroyed by a fire in 1894. In 1912, it moved to its new eight-story building on Seventh and Union, which it occupied until 1972 when it moved to its present building, 1000 Church Street.",,1000 Church Street,36.161197,-86.785049,POINT (-86.785049 36.161197)
178,2018,Centenary United Methodist Church,"Rev. William Gower built the first Gower’s Chapel on his farm in 1805. A larger chapel, erected in 1850 on Gower land, also served as the local schoolhouse. On Oct. 5, 1884, the newly named Centenary Methodist Church was dedicated by Bishop Holland McTyeire. In 1922, the church relocated again. The new building was destroyed by a tornado on March 11, 1923, but was rebuilt within the year. Centenary United Methodist Church continues to worship at the same location on Gower Rd.",,6809 Gower Road,36.126892,-86.932021,POINT (-86.932021 36.126892)
114,2003,Germantown Historic District,"European immigrants established Germantown, the first suburb in North Nashville, in the 1850s. Large brick townhouses stood next to modest workers’ cottages, illustrating the area’s economic and social diversity. World War I and changes in public attitude began decades of decline. Renovation projects at two historic churches began the neighborhood’s revitalization in the 1970s. Germantown became a National Register Historic District in 1979.",,"Jefferson Street, between Sixth Avenue North and Seventh Avenue North",36.173883,-86.789012,POINT (-86.789012 36.173883)
144,2012,"Bmi Broadcast Music, Inc.","BMI (Broadcast Music, Inc.), an organization that collects performance royalties for songwriters and music publishers in all genres of music, opened its doors in New York in 1940. BMI was the first performance rights organization to represent what was then commonly referred to as rural and race music in the forms of country, gospel, blues, and jazz. In 1958, BMI established a permanent Nashville office and hired Frances Williams Preston as manager. BMI constructed the first wing of this building in 1964 and expanded it in 1995. This office represents songwriters and music publishers in Memphis, Atlanta, New Orleans, Muscle Shoals and Austin, and played a key role in developing Nashville as Music City, U.S.A.",,10 Music Square East,36.150756,-86.791786,POINT (-86.791786 36.150756)
206,2019,Percy Priest Lake,"Construction of the J. Percy Priest Dam and Reservoir began on June 2, 1963. The U.S. Army Corps of Engineers project was named for Priest, a teacher and Tennessean editor who served in Congress from 1940 until his death in 1956. Several small communities, like nearby Couchville, were destroyed during the creation of the lake. Dedicated on June 29, 1968, Percy Priest Dam generates Tenn. Valley Authority energy, and the 14,200-acre lake provides many recreational opportunities.",,3000 Smith Springs Road,36.087234,-86.60097,POINT (-86.60097 36.087234)
137,2009,The Craighead House,"This Federal-style home was built c1810 for John Brown Craighead and his first wife Jane Erwin Dickinson. Craighead was the son of early Nashville settler the Rev. Thomas Craighead. In 1823, Craighead married Lavinia Robertson Beck, youngest daughter of Nashville founders Charlotte and James Robertson. Major additions to the house were made in 1824, 1919, and 1998. Developers purchased the Craighead estate in 1905 and planned the present-day Richland-West End neighborhood.",,3710 Westbrook Avenue,36.138636,-86.830844,POINT (-86.830844 36.138636)
141,2011,Rca Studio B,"RCA Records established a recording studio in this building in November 1957, with local offices run by guitarist-producer Chet Atkins. Its success led to a larger studio, known as Studio A, built next door in 1964. Studio B recorded numerous hits by Elvis Presley, the Everly Brothers, Roy Orbison, Don Gibson, Charley Pride, Jim Reeves, Dolly Parton, and many others. Along with Bradley Studios, Studio B is known for developing “The Nashville Sound.”",,34 Music Square West,36.15013,-86.793178,POINT (-86.793178 36.15013)
15,1969,Powder-grinding Wheels,"These wheels used by the Confederacy to grind gunpowder at Augusta, Ga., in 1863-1864 were made in Woolwich, England and were shipped on the blockade runner “Spray,” via Mobile. After the war Gen. Miles purchased them for use at Sycamore Powder Mills, Cheatham County. They were exhibited at the Tennessee Centennial Exposition in 1897.",,"Near present position of wheels in Centennial Park, by Park Plaza entrance",36.153224,-86.81363,POINT (-86.81363 36.153224)
203,2019,Rev. Bill Barnes (1931-2017),"Reverend William L. “Bill” Barnes, a pastor, civil rights leader and teacher, was often called the “conscience of Nashville.” Rev. Barnes passionately agitated for legislation that would help those marginalized by race, social class, sexual orientation, incarceration or homelessness. He also founded many organizations to bring attention to those issues including MANNA (1975), Project Return (1979) and the Organized Neighbors of Edgehill (O.N.E.) Barnes Scholarship (1995).

In 1966 Rev. Barnes founded Edgehill United Methodist Church, one of Nashville’s first intentionally integrated churches. His work, addressing issues like affordable housing, often centered in the Edgehill community. Barnes wanted his work to be carried into the future, believing, much like Saint Óscar Romero, that “The temple shall remain unfinished until all are housed in dignity.” In 2013 The Barnes Housing Trust, the city’s affordable housing fund, was named in his honor.",,1502 Edgehill Avenue,36.143243,-86.790861,POINT (-86.790861 36.143243)
4,1968,Nashville Plow Works,"Site of a farm implement factory operated by Messrs. Sharp and Hamilton, previous to the War Between the States.  With the out-break of hostilities they reversed the Biblical injunction and produced swords of excellent quality for the Confederacy.  With the coming of the Federal Army, the making of swords was discontinued.",,SE corner of Eighth Avenue South and Palmer Place,36.153444,-86.779458,POINT (-86.779458 36.153444)
227,2020,History of Edgehill,"Edgehill’s history dates from the decades before the Civil War, when country estates were located on and around Meridian Hill, now E.S. Rose Park.  The construction and defense of Union fortifications during the Civil War drew many African Americans to the area, where they contributed to the Union victory and the end of enslavement.  After the Civil War, they built the free communities of “New Bethel” and “Rocktown” that developed during the twentieth century into Edgehill.",,1000 Edgehill Avenue,36.141977,-86.783459,POINT (-86.783459 36.141977)
133,2008,Richland-west End,"This early planned subdivision presents a largely unaltered picture of suburban residences in early 20th century Nashville. With ninety percent of existing homes built between 1905 and 1925, the styles range from large American foursquares to the more modest bungalows and cottages. The neighborhood is listed in the National Register of Historic Places.",,Bowling Avenue at Richland Avenue,36.1358,-86.825734,POINT (-86.825734 36.1358)
136,2009,Bells Bend,"Bells Bend, first known as White’s Bend, is an 18-square-mile area encompassed by a U-shaped bend in the Cumberland River. Numerous archaeological sites indicate that the area has been inhabited for at least 10,000 years. Bells Bend has thrived as an agricultural community since the early 19th century with land owners that included Montgomery Bell and David Lipscomb. The Clees family operated a mill and ferry service beginning in the 1870’s. Clees Ferry ceased operation in 1990.",,Old Hickory Blvd at Ashland City Highway,36.211694,-86.920493,POINT (-86.920493 36.211694)
151,2013,Richland Park,"Once a part of the Byrd Douglas plantation, the Nashville Land Improvement Company dedicated ten acres for a public park in 1887. After annexation, the park became a Nashville City Park in 1907, and the City added playground equipment. Richland Park hosted many community events such as ice cream socials, band concerts, outdoor movies, and sporting events. The commmunity center opened in 1932, and was converted in the Richland Park Library in 1961-62.",,"4711 Charlotte Avenue, in front of Richland Park Library",36.152004,-86.844134,POINT (-86.844134 36.152004)
69,1976,Tennessee State University,"Tennessee Agricultural & Industrial State Normal School for Negroes first opened its doors to 247 students in 1912. this site gave birth to a new era of public higher education for Negroes in the state of Tennessee with emphasis on agricultural & industrial occupations. In 1922 the school became a college & in 1951, a university.",,"TSU Campus, 3500 John A. Merritt Blvd, Hankal Hall",36.168229,-86.830118,POINT (-86.830118 36.168229)
239,2022,Woodmont School,"Woodmont School opened in 1931 on land purchased by area parents for $3000. Thousands of students attended in grades one through eight, and the school served as the hub of the community for the next 50 years. Many former students remember beloved teachers, principals and staff, and events such as spaghetti suppers, paper drives, field day events and annual carnivals. The school closed in 1982 and the building was razed in 1986. The campus became Woodmont Park in 1987.",,912 Estes Road,36.118588,-86.836043,POINT (-86.836043 36.118588)
169,2018,Alex Little Page Green (1806-1874),"In 1829, The Rev. Alex Green joined the Methodist Episcopal Church’s Nashville Conference. Elected vice-president of the TN Conference’s Temperance Society in 1835, Green was instrumental in the Southern Methodist Publishing House’s move to Nashville in 1854, and helped establish Shelby Medical College (1857) and Vanderbilt University (1875). By private venture, he opened Union St. from College St. to Market St. c. 1870. This area’s first school was renamed Alex Green Academy in 1887.",,3921 Lloyd Road,36.253871,-86.830129,POINT (-86.830129 36.253871)
58,1975,Fort Negley Site,"The guns of Fort Negley, commanding three turnpikes to the South & Southeast, opened the Battle of Nashville, Dec. 15, 1864. This site was selected by Capt. J.S. Morton as the key strongpoint in the Federal line around the city. The European style fort named for General James S. Negley, was built of stone, logs, earth and railway iron.",X,"Ridley Avenue, at Fort Negley entrance",36.142835,-86.775947,POINT (-86.775947 36.142835)
187,2019,Dodson School,"As early as 1815, school was held nearby at Stoner’s Lick Methodist Church. In 1843, early settler Timothy Dodson granted land for a dedicated schoolhouse that was built c. 1855. After it burned, classes were held at the Hermitage railroad station until a one-room frame school was rebuilt in 1880. Old Dodson School was built in 1936, expanded in 1950 and 1955; it was desegregated Jan. 23, 1961. Dodson School, designed by Nashville architect Earl Swensson, opened here in 1968.",,4401 Chandler Road,36.191264,-86.60361,POINT (-86.60361 36.191264)
148,2013,Cohn School,"Designed by architects Asmus and Clark and opened in 1928 as a junior high school, Cohn School was named in memory of Corinne Lieberman Cohn, one of the first female members of the school board.  Jonas H. Sikes served as first principal. The school added high school grades in 1937, and graduated its first high school class in 1940. Following school desegregation, Cohn High merged with Pearl High in 1983. The building now serves as the Cohn Adult Learning Center.",,"Cohn School, 4805 Park Avenue",36.150993,-86.84525,POINT (-86.84525 36.150993)
49,1971,Neill S. Brown 1810-1886,"Located 125 yards north is the site of Idlewild, home of Neill S. Brown, native of Giles County & fourteenth governor of Tennessee, 1848-1850. The only governor to live in East Nashville, he is credited with naming the city of Edgefield. Appointed United States Minister to Russia in 1850, and in 1870 was a member of the State Constitutional Convention.",,Main Street and Neill Avenue,36.175832,-86.757569,POINT (-86.757569 36.175832)
72,1981,Mansker’s First Fort,"Here on west bank of the creek that he discovered in 1772, Kasper Mansker and other first settlers built a log fort in 1779. John Donelson’s family fled here in 1780 for safety from Indians. Mansker abandoned the fort in 1781 and moved to Fort Nashborough. He returned in 1783, built a stronger stockade on east bank of the creek a half mile upstream, and lived there until he died in 1820.",,"Goodlettsville, on Long Hollow Pike between Northcreek Boulevard and Jackson Road",36.326921,-86.699867,POINT (-86.699867 36.326921)
247,2022,Tusculum Elementary School,"In 1911, after local families petitioned the county school board, Tusculum School opened on Nolensville Road. It was named for the nearby home of Judge John Haywood, after an area outside ancient Rome where nobles such as Cicero resided. The Works Progress Administration built a larger school on McMurray Drive in 1936. Razed in 1974 for a new building and replaced in 2017, Tusculum School became Tennessee’s first public school to receive a LEED Gold environmental designation.",,,,,
162,2018,Hca Healthcare,"In 1968, Hospital Corporation of America (HCA) was founded by Dr. Thomas Frist Sr., his son Dr. Thomas Frist Jr., and businessman Jack C. Massey. The original office was located here, in a small house near HCA’s first hospital—Park View. At the time, it was one of the nation’s first hospital companies. With a mission to care for and improve human life, the Nashville-based company, now called HCA Healthcare, has grown into one of the nation’s largest healthcare services providers.",,250 Twenty-Fifth Avenue North,36.152988,-86.81222,POINT (-86.81222 36.152988)
119,2004,The Temple Cemetery,"The Temple Cemetery was established in 1851 with the purchase of three acres by the Hebrew Benevolent Burial Association and still serves Nashville’s first Jewish congregation, The Temple, Congregation Ohabai Sholom. It blends early urban burial ground practices with picturesque elements of later Victorian garden cemeteries. The Temple Cemetery was listed in the National Register of Historic Places in 2004.",,"Temple Cemetery, 2001 15th Avenue North (inside cemetery)",36.183528,-86.810322,POINT (-86.810322 36.183528)
131,2008,Mud Tavern,"The Mud Tavern Community developed around the crossroads of the Elm Hill and McGavock Turnpikes. The name derives from the mud and log inn at the crossroads where early 19th century travelers found rest and refreshment. Mud Tavern later became a lively rural community, with a railway stop, schools, post office, and general store, which thrived until overtaken by 20th century commercial development.",,2200 Elm Hill Pike,36.152833,-86.689894,POINT (-86.689894 36.152833)
142,2011,Belmont-hillsboro Neighborhood,"When Adelicia Acklen’s estate was sold in 1890, the Belmont Mansion and its grounds became Belmont College. Other portions, and parts of the neighboring Sunnyside Mansion property, were subdivided into residential lots by the Belmont Land Co. In 1900-1910, streetcar lines were built running to Cedar Lane on Belmont Boulevard and to Blair Boulevard on 21st Ave. The neighborhood became a National Register Historic District in 1980.",,2500 Belmont Boulevard,36.125631,-86.794057,POINT (-86.794057 36.125631)
